gvkey,primary_permno
001965,24854
001966,16353
001967,54893
001968,53110
001969,85754
001970,16361
001971,62797
001972,16380
001973,16388
001974,52484
001975,29487
001976,75034
001978,16409
001979,10318
001981,58755
001982,16417
001983,43780
001984,16425
001985,16433
001986,70957
001987,44695
001988,57568
001989,16460
001990,58480
001992,16468
001994,16476
001995,24221
001996,16484
001998,65138
001999,49808
002000,65146
002001,16505
002002,16505
002003,16521
002004,16540
002005,16548
002006,16564
002007,63511
002008,55781
002009,29524
002011,16599
002012,41208
002013,50390
002014,51772
002015,63095
002016,16628
002017,16695
002019,49656
002021,16716
002022,51764
002024,58827
002025,61938
002026,16759
002028,16791
002029,48354
002031,16847
002032,16855
002033,29532
002034,16890
002035,16898
002036,85826
002037,43801
002039,16919
002040,10698
002041,55423
002043,57971
002044,46877
002045,16935
002046,16943
002048,29559
002049,39693
002050,16951
002051,61284
002052,42358
002053,16970
002054,16978
002055,71298
002057,85834
002058,16986
002059,16994
002060,85842
002061,47423
002062,29567
002063,29575
002064,43529
002065,17014
002066,29583
002067,29591
002068,51115
002069,17022
002070,17049
002072,17065
002073,17073
002074,84340
002075,27641
002076,78473
002077,53487
002078,61292
002079,17102
002080,17137
002081,17145
002082,17153
002083,17161
002084,17180
002085,26518
002086,27887
002087,53284
002088,58202
002089,17196
002090,17217
002091,17225
002092,17233
002093,29640
002094,17241
002095,10727
002096,17260
002097,17268
002098,17284
002099,17292
002100,63466
002101,29612
002102,17953
002104,23296
002106,17321
002107,17348
002108,29620
002110,16651
002111,39642
002112,17356
002113,85885
002114,21733
002116,63474
002117,17399
002118,17401
002119,17420
002120,52281
002122,57488
002123,17428
002124,17444
002125,28556
002126,17452
002127,76930
002128,77514
002129,50534
002130,10743
002131,17487
002132,17495
002135,22322
002136,65875
002137,29647
002138,29639
002139,17508
002140,17516
002146,65883
002147,17559
002149,78660
002150,65509
002151,49541
002152,63909
002154,43772
002156,17612
002157,10751
002158,17639
002159,19377
002161,17655
002162,24029
002163,17671
002164,17698
002166,17719
002167,85906
002168,54519
002169,42438
002171,17735
002173,29663
002174,17751
002175,17770
002176,17778
002177,39095
002179,54076
002180,63917
002181,46500
002182,51422
002183,17807
002184,85914
002185,58018
002188,38471
002189,10786
002190,17815
002191,17823
002192,17831
002193,47992
002195,17866
002196,17874
002197,54164
002198,51609
002199,29698
002200,17882
002201,17903
002202,17930
002203,17938
002204,17946
002207,44409
002208,54033
002209,17954
002212,64530
002213,17962
002214,17989
002215,55044
002216,39159
002217,18009
002218,52839
002219,18017
002220,61508
002221,18025
002222,18033
002223,18041
002224,18060
002225,67168
002226,11983
002227,85957
002229,18076
002230,18092
002231,78472
002235,18121
002236,18140
002237,18148
002239,18156
002240,18164
002242,18172
002243,18199
002244,18220
002245,18228
002246,18244
002247,18252
002248,18279
002249,18287
002250,18295
002251,18308
002252,18316
002253,18324
002255,20220
002256,18359
002257,18367
002258,18375
002259,61946
002260,18391
002261,18404
002263,48610
002264,18439
002265,38527
002267,18455
002268,18463
002269,49373
002270,62519
002271,65154
002272,44273
002274,18490
002276,18519
002278,29735
002279,18527
002280,78249
002281,18551
002282,18570
002283,27836
002284,54826
002285,19561
002286,18607
002288,29743
002289,18623
002290,42024
002292,18631
002293,64178
002294,51393
002295,18650
002296,18658
002299,84839
002300,18682
002301,20714
002302,18711
002304,18738
002305,18746
002306,24483
002308,18754
002309,18762
002310,69227
002311,18797
002312,52230
002314,18818
002315,18826
002316,16571
002322,17590
002323,27289
002325,85981
002327,18834
002328,25144
002330,18877
002331,42251
002332,18893
002333,43676
002334,78441
002336,46383
002337,66130
002338,18914
002339,51895
002340,11901
002342,60898
002344,18922
002345,39757
002346,47642
002348,18949
002349,18957
002350,18965
002351,86001
002352,18973
002353,18981
002354,19020
002355,19028
002356,80149
002357,78243
002360,19052
002361,50315
002362,19079
002363,29794
002364,19087
002366,19095
002367,21864
002368,29807
002369,85259
002370,19108
002371,58579
002372,47618
002374,29815
002375,19159
002377,19167
002378,19175
002379,30438
002380,86036
002382,19255
002385,55802
002388,86044
002389,29823
002390,19271
002391,19290
002392,45946
002393,17961
002395,19298
002398,76071
002399,19343
002400,60257
002401,19351
002402,86079
002403,19393
002405,29874
002408,88658
002409,51748
002410,29890
002411,66835
002412,19370
002413,86087
002416,19394
002417,63482
002418,50737
002420,43326
002421,19423
002422,19431
002424,10823
002425,44011
002426,65517
002427,19466
002428,19474
002429,19482
002430,19503
002431,19530
002432,19538
002433,42606
002434,29911
002435,29946
002436,10866
002437,19546
002438,19554
002439,53786
002440,50796
002441,86108
002443,19589
002444,10874
002447,86116
002448,55597
002450,19597
002451,19626
002452,63925
002454,86132
002455,18331
002456,29962
002457,29970
002458,19642
002459,21629
002461,19677
002462,19685
002463,93172
002464,19693
002465,55116
002466,19706
002467,19722
002468,19757
002469,18358
002471,44257
002473,46308
002475,19773
002476,19781
002478,17718
002479,50673
002480,58974
002482,19802
002483,19829
002484,67176
002489,20677
002490,50227
002491,27721
002492,75211
002493,19853
002496,43852
002497,19880
002498,19888
002502,19896
002503,30015
002504,10890
002505,19917
002506,19925
002507,19933
002508,67432
002509,10911
002512,19941
002513,19960
002514,19968
002515,19976
002516,19984
002517,30031
002518,19992
002519,20002
002520,86175
002521,79732
002522,10938
002523,78305
002524,55968
002525,20045
002526,89462
002527,59686
002529,20730
002530,20061
002531,30074
002534,20109
002535,24600
002536,20117
002537,20125
002538,45655
002539,20133
002540,20141
002541,86239
002542,20160
002543,20168
002545,54041
002546,52302
002547,64186
002549,10970
002550,43043
002551,20205
002552,20213
002553,48282
002554,20240
002555,20248
002556,67838
002557,61612
002558,47626
002559,63108
002560,20272
002561,20299
002562,10989
002564,57269
002566,20320
002567,84399
002568,67440
002569,58181
002571,86263
002572,20328
002573,20336
002574,62148
002575,78521
002577,28564
002578,64725
002579,55888
002581,86290
002582,20408
002583,56071
002586,86327
002587,48864
002588,20432
002589,20459
002590,20467
002591,20483
002593,46690
002594,20491
002595,20504
002596,20512
002597,20539
002598,20547
002599,20555
002600,22285
002602,20571
002603,20590
002604,62818
002605,49402
002606,56602
002609,20619
002610,20627
002611,39810
002612,66456
002613,20643
002614,20651
002615,20670
002616,20678
002617,41531
002620,20694
002621,20707
002622,70383
002623,20715
002624,30138
002625,20723
002627,62156
002628,20750
002629,20758
002630,11017
002631,20774
002632,20782
002633,51414
002634,20803
002635,20811
002636,64880
002639,20854
002640,52986
002642,20862
002643,20889
002644,20897
002645,20910
002646,20918
002648,20942
002649,20969
002650,51262
002651,20977
002652,20993
002653,61954
002655,21005
002658,21013
002659,30162
002661,25478
002662,30154
002663,25320
002664,58982
002667,21040
002668,21048
002670,15835
002677,30197
002680,78254
002685,30218
002688,30234
002689,50251
002694,30250
002695,30269
002696,84181
002697,30277
002698,11041
002702,40803
002706,61962
002708,30314
002710,64899
002711,30322
002713,69308
002717,68865
002718,60759
002720,46180
002721,21152
002722,21179
002724,22939
002728,57699
002729,30330
002731,85073
002732,21224
002734,21232
002735,84837
002736,78250
002737,53989
002738,30349
002740,21304
002741,21312
002743,21339
002744,58042
002745,25064
002746,21347
002747,21355
002748,21363
002749,38922
002750,63490
002751,21371
002752,21390
002754,86415
002755,21427
002756,68873
002757,21451
002758,65162
002759,66843
002760,21478
002761,21486
002762,45372
002763,56303
002764,42324
002765,47220
002766,21494
002767,12160
002768,21507
002770,23106
002771,27334
002772,21550
002773,21558
002774,21566
002775,30365
002777,21582
002778,21603
002780,47095
002781,53524
002783,23114
002785,86423
002786,21630
002787,20618
002788,21638
002789,22533
002791,52003
002792,60062
002793,21646
002796,40352
002797,26374
002799,21718
002800,86431
002801,37348
002802,21726
002803,56952
002804,21734
002806,11068
002807,21742
002808,21769
002811,30402
002812,40707
002814,64549
002815,30410
002816,86450
002817,18542
002818,11267
002819,55255
002820,89792
002822,46009
002823,21849
002824,28142
002825,21857
002827,19027
002828,46623
002829,86474
002830,47669
002831,86466
002832,21929
002834,28150
002836,21945
002837,66851
002838,21953
002839,47052
002840,50198
002841,21961
002844,22008
002845,53831
002846,22016
002847,23851
002848,22024
002849,22032
002850,22059
002854,22075
002856,22437
002858,24870
002859,64557
002860,42710
002861,22091
002863,22219
002864,27158
002870,63503
002871,22243
002872,58173
002873,22251
002874,22270
002877,11084
002878,30445
002879,30453
002880,22307
002881,22315
002882,22331
002883,87152
002884,60599
002885,22358
002886,56610
002887,22366
002888,22374
002889,22382
