symbol,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
MCG,39068,43,3,365,21663,2021-07-15,2024-06-20
MCHP,27965,404,27,366,78987,1993-03-19,2024-12-31
MCHX,157755,267,18,366,90088,2004-06-10,2024-12-31
MCK,7171,339,23,366,81061,1999-01-13,2024-12-31
MCMJ,35761,43,3,366,19140,2019-12-12,2022-02-06
MCO,139665,250,17,366,48506,2000-10-03,2024-12-31
MCRB,24177,149,10,366,15431,2015-06-26,2024-12-31
MCRI,28704,348,22,366,79507,1993-08-06,2024-12-31
MCS,7022,366,23,366,51423,1993-12-14,2024-12-31
MCVT,182501,44,3,365,23260,2022-08-09,2024-12-31
MCW,38936,58,4,365,21359,2021-06-25,2024-12-31
MCY,17035,325,22,366,52936,1986-04-01,2024-12-31
MD,61325,237,16,366,82272,2009-01-02,2024-12-31
MDAI,349337,15,1,365,20867,2023-09-12,2024-12-31
MDB,32526,116,8,365,16968,2017-10-19,2024-12-31
MDBH,41885,29,2,365,24271,2023-09-21,2024-12-31
MDC,6865,348,22,366,66245,1985-06-20,2024-04-18
MDCA,20570,35,3,366,81527,2005-08-01,2021-08-02
MDGL,27716,134,9,366,91832,2016-07-25,2024-12-31
MDGS,275799,57,5,366,15379,2015-11-09,2024-04-17
MDIA,35583,73,5,365,19129,2020-01-17,2024-12-31
MDLA,35374,43,3,366,18787,2019-07-19,2021-10-28
MDLY,21547,101,7,366,14908,2014-09-24,2020-11-01
MDLZ,142953,193,13,366,89006,2012-10-02,2024-12-31
MDNA,32321,23,2,365,19645,2020-08-24,2023-11-01
MDP,7260,302,19,366,42796,1968-01-02,2021-12-01
MDRR,34420,81,7,366,18259,2018-11-28,2024-07-02
MDRRP,34420,69,6,366,18259,2018-11-28,2024-07-02
MDRX,181104,164,11,366,87078,2010-08-24,2023-01-02
MDU,6867,339,23,366,23835,1985-04-24,2024-12-31
MDV,39663,34,3,365,22857,2022-02-11,2024-12-31
MDV-PA,39663,34,3,365,22857,2022-02-11,2024-12-31
MDVL,37396,58,4,365,14820,2020-11-18,2023-07-31
MDXG,178157,162,11,366,13878,2013-04-25,2024-12-31
MDXH,278308,23,2,365,22325,2021-12-07,2023-11-15
ME,38717,58,4,365,20134,2021-06-17,2024-10-15
MEC,35099,87,6,366,18709,2019-05-09,2024-12-31
MED,29517,234,15,366,80054,2002-12-20,2024-12-31
MEDP,19998,133,9,366,16260,2016-08-11,2024-12-31
MEDS,179507,71,5,365,19249,2020-02-13,2024-09-22
