symbol,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
CLNE,176343,192,13,366,92035,2008-06-23,2024-12-31
CLNN,37633,73,5,365,20285,2020-12-31,2024-12-31
CLNNW,37633,73,5,365,20285,2020-12-31,2024-12-31
CLOV,37711,58,4,365,19456,2021-01-08,2024-12-31
CLPR,26475,95,8,366,16577,2017-02-10,2024-12-31
CLPT,184077,74,5,365,18806,2020-02-12,2024-12-31
CLR,3469,221,15,366,91983,2007-05-15,2022-11-22
CLRB,186974,161,11,366,14862,2014-08-15,2024-12-31
CLRO,18549,207,13,366,75714,2012-12-13,2024-12-31
CLS,112158,269,21,366,86115,1998-07-01,2024-12-31
CLSD,26798,134,9,366,16090,2016-06-02,2024-12-31
CLSK,186904,72,5,365,19187,2020-01-24,2024-12-31
CLSN,2990,300,21,366,88208,2000-05-31,2022-09-20
CLST,39376,59,4,365,22195,2021-10-13,2024-12-31
CLUBQ,164606,193,13,366,91349,2006-06-02,2020-09-23
CLVR,37559,46,4,365,18370,2020-12-18,2023-08-24
CLVRW,37559,46,4,365,18370,2020-12-18,2023-08-24
CLVS,196055,164,11,366,13107,2011-11-16,2022-12-20
CLW,181931,237,16,366,92854,2008-12-17,2024-12-31
CLX,3121,479,30,366,46578,1968-08-01,2024-12-31
CLXT,32193,103,7,366,16818,2017-07-20,2023-04-24
CM,15581,35,3,365,85636,2020-04-06,2024-12-31
CMA,3231,402,27,366,25081,1991-04-02,2024-12-31
CMAX,38967,58,4,365,19824,2021-06-09,2024-11-27
CMAXW,38967,58,4,365,19824,2021-06-09,2024-11-27
CMC,3246,492,31,366,30680,1982-08-03,2024-12-31
CMCM,20128,94,8,365,14618,2014-05-08,2024-12-31
CMCO,62221,398,25,366,83120,1996-02-23,2024-12-31
CMCSA,3226,193,15,366,89525,2004-06-10,2024-09-11
CMCT,19966,129,11,366,80014,2014-04-29,2024-12-31
CMCT.TA,19966,12,1,365,80014,2022-03-29,2024-12-31
CMCTP,19966,117,10,366,80014,2014-04-29,2024-12-31
CME,149070,180,12,366,89626,2008-07-14,2024-12-31
CMG,165914,223,15,366,91068,2006-02-07,2024-12-31
CMI,3650,444,28,366,41080,1968-01-02,2024-12-31
CMLF,36868,28,2,202,19956,2020-10-26,2021-07-22
CMLFU,36868,28,2,202,19956,2020-10-26,2021-07-22
CMLS,112030,309,22,366,86155,1998-06-26,2024-12-31
CMLTU,38187,14,1,205,21277,2021-05-28,2021-12-19
CMMB,38393,47,4,365,18395,2021-03-17,2024-12-31
CMND,349994,23,2,365,23514,2022-11-15,2024-12-31
CMO,13142,307,24,366,68021,1989-11-07,2021-10-18
CMP,157153,278,19,366,89952,2003-12-12,2024-12-31
CMPI,36779,43,3,365,19622,2020-08-07,2022-05-27
CMPO,37153,58,4,365,20138,2021-12-28,2024-12-31
CMPOW,37153,58,4,365,20138,2021-12-28,2024-12-31
CMPS,36975,48,4,365,19821,2020-09-18,2024-12-31
CMPX,37364,58,4,365,22295,2021-11-02,2024-12-31
CMRA,36881,28,2,319,23105,2022-06-24,2023-11-16
CMRX,17498,179,12,366,13870,2013-04-11,2024-12-31
CMS,3439,384,26,366,23229,1987-05-27,2024-12-31
CMS-PC,3439,279,19,366,23229,1987-05-27,2024-12-31
CMSA,3439,192,13,366,23229,2004-06-10,2024-12-31
CMSC,3439,236,16,366,23229,1987-05-27,2024-12-31
CMSD,3439,206,14,366,23229,2004-06-10,2024-12-31
CMT,14794,356,26,366,84387,1997-01-02,2024-12-31
CMTG,39861,46,4,365,22362,2021-11-03,2024-12-31
CMTL,3358,367,23,366,26201,1991-02-11,2024-12-31
CNA,2558,342,23,366,47626,1987-05-11,2024-12-31
CNBKA,16748,270,17,366,11348,1987-05-20,2021-11-12
CNC,145552,296,20,366,89269,2001-12-13,2024-12-31
CNCE,19534,134,9,366,14451,2014-02-13,2023-03-03
CNDB,39903,58,4,365,22447,2021-12-27,2024-03-26
CNDT,28719,118,8,366,16497,2017-01-03,2024-12-31
CNET,183224,72,5,365,93274,2020-10-14,2024-09-29
CNF,34379,36,3,366,18223,2018-11-07,2024-12-31
CNFR,25105,149,10,366,15636,2015-08-13,2024-12-31
CNFRZ,25105,15,1,365,15636,2015-08-13,2024-12-31
CNI,2696,104,8,366,84181,2004-06-10,2024-12-31
CNK,177108,253,17,366,91915,2007-04-24,2024-12-31
CNL,38930,10,1,162,25261,2024-07-22,2024-12-31
CNM,38870,59,4,365,21607,2021-07-23,2024-12-31
CNMD,13623,445,28,366,11547,1987-07-23,2024-12-31
CNNB,26364,44,3,365,19188,2020-01-23,2023-02-03
CNNE,20960,117,8,366,17036,2017-11-20,2024-12-31
CNO,12603,194,13,366,89841,2010-05-12,2024-12-31
CNO-PA,12603,179,12,366,89841,2010-05-12,2024-12-31
CNOB,17724,164,11,366,83642,2014-07-01,2024-12-31
CNOBP,17724,164,11,366,83642,2014-07-01,2024-12-31
CNP,5742,219,14,366,21792,2002-10-01,2024-12-31
CNQ,15055,176,15,366,88391,2000-07-31,2024-12-31
CNS,266214,221,15,366,90303,2004-08-20,2024-12-31
CNSL,162127,281,19,366,90803,2005-10-10,2024-12-26
CNSP,35403,86,6,365,19066,2019-11-08,2024-12-31
CNST,33724,57,4,366,17958,2018-07-19,2021-07-14
CNTA,38805,46,4,365,21278,2021-05-28,2024-12-31
CNTB,38422,36,3,365,20776,2021-03-19,2024-12-31
CNTQ,38277,28,2,281,21835,2021-08-24,2022-10-09
CNTQU,38277,28,2,281,21835,2021-08-24,2022-10-09
CNTX,39633,59,4,365,22196,2021-10-20,2024-12-31
CNTY,29151,334,21,366,79791,1994-06-08,2024-12-31
CNVY,38868,28,2,278,21373,2021-06-16,2022-10-06
CNX,120093,116,8,365,86799,2017-11-29,2024-09-11
CNXA,35948,42,3,266,23178,2022-06-15,2024-12-31
CNXC,37382,59,4,365,20065,2020-12-01,2024-12-31
CNXN,66586,363,23,366,85886,1998-03-03,2024-12-31
CNXX,37332,14,1,123,20286,2022-08-22,2024-05-03
COCH,38030,28,2,193,21019,2023-10-02,2024-12-31
COCHW,38030,14,1,193,21019,2024-06-21,2024-12-31
COCO,39749,58,4,365,22199,2021-10-21,2024-12-31
COCP,19467,102,7,366,17351,2018-03-12,2024-12-31
CODA,183547,118,8,366,16819,2017-07-19,2024-12-31
CODI,166368,200,17,366,91271,2006-05-11,2024-12-31
CODI-PA,166368,198,17,366,91271,2006-05-11,2024-12-31
CODI-PB,166368,177,15,366,91271,2009-04-21,2024-12-31
CODI-PC,166368,210,18,366,91271,2006-05-11,2024-12-31
CODX,31542,119,8,366,16820,2017-07-12,2024-12-31
COE,27299,80,7,365,16120,2016-06-10,2023-05-25
COEP,38082,43,3,365,20281,2022-10-31,2024-12-30
COEPW,38082,43,3,365,20281,2022-10-31,2024-12-30
COF,30990,280,19,366,81055,1994-11-16,2024-12-31
COF-PI,30990,324,22,366,81055,1994-11-16,2024-12-31
COF-PJ,30990,308,21,366,81055,1994-11-16,2024-12-31
COF-PK,30990,294,20,366,81055,1994-11-16,2024-12-31
COF-PL,30990,295,20,366,81055,1994-11-16,2024-12-31
COF-PN,30990,310,21,366,81055,1994-11-16,2024-12-31
COFS,66453,74,5,365,19231,2020-02-07,2024-12-31
COG,20548,300,19,366,76082,1990-02-08,2021-10-03
COGT,36949,74,5,365,17372,2020-11-09,2024-12-31
COHN,175674,109,8,366,90077,2017-09-05,2024-12-31
COHR,14561,43,3,365,11752,2022-09-08,2024-12-31
COHU,3158,383,24,366,30648,1994-09-14,2024-12-31
COIN,34749,58,4,365,20892,2021-04-14,2024-12-31
COKE,3138,334,21,366,11995,1982-11-01,2024-12-31
COLB,65228,234,18,366,77679,2004-11-17,2024-12-31
COLL,23555,148,10,366,15371,2015-05-07,2024-12-31
COLM,105936,269,17,366,85863,1998-03-27,2024-12-31
COMM,18036,178,12,366,14239,2013-10-25,2024-12-31
COMP,38488,59,4,365,20916,2021-04-01,2024-12-31
COMS,38077,42,3,344,20421,2021-01-22,2024-01-30
COMSP,38077,42,3,344,20421,2021-01-22,2024-01-30
COMSW,38077,42,3,344,20421,2021-01-22,2024-01-30
CON,50345,14,1,159,25245,2024-07-25,2024-12-31
CONE,16116,106,9,366,13752,2013-01-18,2022-03-24
CONN,156614,279,19,366,89908,2003-11-25,2024-06-16
CONX,37332,72,5,365,20286,2020-12-21,2024-05-03
CONXU,37332,72,5,365,20286,2020-12-21,2024-05-03
CONXW,37332,72,5,365,20286,2020-12-21,2024-05-03
COO,3504,370,25,366,65541,1995-09-22,2024-12-31
COOK,39317,59,4,365,21684,2021-07-29,2024-12-31
COOP,13888,102,7,365,81593,2018-10-11,2024-08-12
COP,8549,282,19,366,13928,2002-09-03,2024-12-31
COR,31673,178,12,366,81540,2006-07-25,2024-12-31
CORN,185062,128,12,366,93424,2010-06-09,2023-12-11
CORR,165209,140,12,366,91801,2012-12-03,2023-12-01
CORR-PA,165209,126,11,366,91801,2013-01-02,2023-12-01
CORT,146616,268,18,366,90125,2004-06-10,2024-12-31
CORZ,37871,12,1,342,24698,2024-01-24,2024-12-31
COSM,18874,44,3,365,22771,2022-02-28,2024-12-31
COST,29028,282,19,366,87055,1999-08-30,2024-12-31
COTY,12151,178,12,366,13983,2013-06-13,2024-12-31
COUP,28084,104,7,366,16382,2016-10-06,2023-02-27
COUR,38265,59,4,365,20681,2021-03-31,2024-12-31
COWN,183797,191,13,366,93128,2009-12-01,2023-02-28
COWNL,183797,191,13,366,93128,2009-12-01,2023-02-28
COYA,41878,44,3,365,23615,2022-12-29,2024-12-31
CP,2698,19,2,365,89125,2023-04-18,2024-12-31
CPAC,204203,71,6,365,13206,2017-03-03,2024-12-31
CPAY,184700,14,1,281,12449,2024-03-25,2024-12-31
CPB,2663,363,23,366,25320,1968-01-02,2024-08-18
CPBI,43152,15,1,365,24471,2023-10-20,2024-12-31
CPE,15060,280,19,366,80926,1994-10-07,2024-03-28
CPF,16705,250,17,366,11628,2003-05-01,2024-12-31
CPG,145812,92,8,366,14379,2014-01-22,2024-05-14
CPHC,31099,144,9,366,81182,2008-08-26,2024-12-31
CPHI,148239,194,14,366,93016,2009-09-30,2024-12-31
CPIX,178097,180,12,366,93004,2009-08-11,2024-12-31
CPK,2986,429,27,366,23182,1993-01-04,2024-12-31
CPLG,19800,39,4,366,17789,2018-05-31,2022-03-02
CPNG,38092,58,4,365,20682,2021-03-11,2024-08-20
CPRT,29901,318,20,366,80320,1994-03-17,2024-12-31
CPRX,175966,223,15,366,91606,2006-11-08,2024-12-31
CPS,163765,178,12,366,14185,2013-10-17,2024-12-31
CPSH,13582,148,10,366,11511,2015-01-15,2024-12-31
CPSI,147849,298,20,366,89387,2002-05-21,2024-03-03
CPSS,25852,302,19,366,78018,1992-10-22,2024-12-31
CPST,137373,23,2,366,88332,2015-11-09,2021-04-21
CPT,28629,245,19,366,79452,1993-07-22,2024-12-31
CPTA,18779,23,2,365,14151,2015-01-23,2020-08-23
CPTN,37908,43,3,365,20798,2022-02-11,2024-12-31
CPTNW,37908,43,3,365,20798,2022-02-11,2024-12-31
CPTP,2735,122,9,366,84837,1997-06-16,2008-12-10
CPUH,37819,43,3,365,20679,2021-03-29,2023-08-01
CQP,176914,129,12,366,91850,2011-06-10,2024-12-31
CR,3580,35,3,272,23744,2022-05-17,2024-12-31
CRAI,109919,239,15,366,85972,2005-05-16,2024-12-31
CRBG,41084,44,3,365,23340,2022-09-15,2024-12-31
CRBP,22035,148,10,366,15287,2015-04-16,2024-12-31
CRBU,39291,59,4,365,21707,2021-07-23,2024-12-31
CRC,21431,151,11,365,15029,2014-12-01,2024-12-31
CRCQW,21431,151,11,365,15029,2014-12-01,2024-12-31
CRCT,184470,58,4,365,20658,2021-03-25,2024-12-31
CRD-A,3581,311,21,366,27618,1990-07-25,2024-12-31
CRD-B,3581,297,20,366,27618,1990-07-25,2024-12-31
CRDF,155387,73,5,365,13411,2020-05-08,2024-12-31
CRDL,34570,24,2,365,21836,2021-08-10,2024-06-19
CREE,27794,237,16,366,78875,1993-02-09,2021-10-03
CREG,145407,220,15,366,93302,2010-03-22,2024-12-31
CRESY,201336,76,6,366,84603,2004-06-10,2024-12-31
CREX,21554,101,7,366,18255,2018-11-15,2024-12-31
CRGE,176064,29,2,365,23014,2022-04-12,2024-02-28
CRGX,43555,14,1,196,24509,2024-06-18,2024-12-31
CRGY,40383,59,4,365,22423,2021-12-08,2024-12-31
CRI,150278,281,19,366,89876,2004-06-10,2024-09-11
CRIS,138341,266,18,366,88511,2000-08-01,2024-12-31
CRK,23002,281,19,366,11644,1990-04-02,2016-07-31
CRKN,36357,43,3,365,20422,2021-01-26,2023-08-14
CRL,137131,368,25,366,88281,2000-07-03,2024-12-31
CRM,157855,220,15,366,90215,2004-06-23,2024-12-31
CRMD,183945,196,14,366,93371,2010-05-13,2024-12-31
CRMT,13602,316,20,366,11174,2002-04-01,2024-12-31
CRNC,35614,89,6,366,18915,2019-10-02,2024-12-31
CRNX,33723,103,7,366,17959,2018-07-18,2024-12-31
CRON,22460,59,5,365,17316,2018-02-27,2024-12-31
CROX,164755,225,15,366,91090,2007-11-28,2024-12-31
CRS,2787,366,23,366,20618,1968-11-04,2024-12-31
CRSA,32940,42,3,237,18549,2019-04-16,2021-06-21
CRSR,37090,74,5,365,19822,2020-09-23,2024-12-31
CRT,24980,283,22,366,77369,1992-02-28,2024-12-31
CRTD,26920,43,3,365,19823,2020-09-11,2022-09-06
CRTDW,26920,43,3,365,19823,2020-09-11,2022-09-06
CRTO,18750,107,9,366,14240,2013-10-30,2024-12-31
CRTX,35102,58,4,366,18648,2019-05-09,2022-07-31
CRUS,16401,495,31,366,75603,1989-06-09,2024-12-31
CRVL,24225,348,22,366,76721,1992-07-27,2024-12-31
CRVO,26809,15,1,365,86536,2023-08-17,2024-12-31
CRVS,26895,134,9,366,15960,2016-03-23,2024-12-31
CRWD,35182,88,6,366,18726,2019-09-09,2024-12-31
CRWS,3622,471,30,366,59256,1994-12-16,2024-12-31
CRXT,185946,28,2,241,20577,2021-09-10,2022-08-30
CRY,27823,333,21,366,78876,1993-02-12,2022-01-23
CRZY,62517,111,7,366,83250,1996-03-29,2003-11-06
CS,28838,105,9,366,89154,2004-06-10,2023-06-09
CSAN,274536,46,4,365,20680,2021-03-11,2024-12-31
CSBR,14983,149,10,366,12146,2015-08-21,2024-12-31
CSCO,20779,446,30,366,76076,1990-02-16,2024-12-31
CSGP,112111,317,20,366,86288,1999-08-02,2024-12-31
CSGS,62266,364,23,366,83124,1996-02-28,2024-12-31
CSII,179413,149,10,366,91365,2009-02-26,2023-04-27
CSIQ,175982,176,15,366,91607,2006-11-09,2024-12-31
CSL,2771,411,26,366,27334,1986-05-30,2024-12-31
CSLR,38059,15,1,365,20990,2023-07-18,2024-12-31
CSLT,19773,119,8,366,14502,2014-03-14,2022-02-16
CSOD,185646,134,9,366,12639,2011-03-17,2021-10-14
CSPI,2573,319,20,366,20336,1982-11-01,2024-12-31
CSPR,36050,29,2,365,19202,2020-02-06,2022-01-24
CSR,65640,64,5,365,85472,2020-12-21,2024-12-31
CSR-PC,65640,64,5,365,85472,2020-12-21,2024-12-31
CSSE,32322,117,8,366,16883,2017-08-18,2024-07-02
CSSEL,32322,58,4,365,16883,2017-08-18,2024-07-02
CSSEN,32322,117,8,366,16883,2017-08-18,2024-07-02
CSSEP,32322,117,8,366,16883,2017-08-18,2024-07-02
CSTL,35396,89,6,366,18832,2019-07-25,2024-12-31
CSTR,27945,118,8,366,16285,2016-09-22,2024-03-28
CSU,65732,221,15,366,85419,2004-06-10,2020-12-13
CSV,63456,396,25,366,83856,1996-08-09,2024-12-31
CSWC,20029,346,27,366,21259,1982-11-01,2024-12-31
CSWI,24601,147,10,366,15651,2015-10-01,2024-12-31
CSX,2574,356,24,366,62148,1980-11-13,2024-12-31
CTA-PA,4087,147,10,366,11703,2004-06-10,2017-08-31
CTA-PB,4087,132,9,366,11703,2004-06-10,2017-08-31
CTAM,2811,199,14,366,30402,1968-01-02,2016-12-06
CTAS,3062,398,27,366,23660,1983-08-19,2024-12-31
CTBI,19262,381,24,366,11844,1997-01-02,2024-12-31
CTCX,38242,14,1,194,21908,2024-06-20,2024-12-31
CTCXW,38242,14,1,194,21908,2024-06-20,2024-12-31
CTEK,116829,81,6,366,16915,2017-09-08,2022-08-31
CTG,3342,283,18,366,26084,1987-02-26,2023-12-12
CTGO,186109,55,4,365,22369,2021-11-24,2024-12-31
CTHR,65850,238,15,366,85539,2000-05-26,2024-12-31
CTIB,65765,58,4,365,85540,2020-03-13,2023-09-24
CTIC,64515,147,10,366,84604,2014-06-02,2023-06-23
CTK,34186,11,1,250,18071,2018-09-28,2019-09-08
CTKB,39246,58,4,365,21606,2021-07-23,2024-12-31
CTKYY,34186,11,1,127,18071,2019-09-09,2022-05-08
CTLP,62213,58,4,365,91910,2021-04-19,2024-12-31
CTLPP,62213,58,4,365,91910,2021-04-19,2024-12-31
CTLT,20228,163,11,366,14763,2014-07-31,2024-12-17
CTM,24035,40,3,365,23466,2022-10-13,2024-12-31
CTMX,26112,149,10,366,15779,2015-10-08,2024-12-31
CTNM,45151,14,1,270,25017,2024-04-05,2024-12-31
CTNT,42891,28,2,296,24092,2023-08-01,2024-10-23
CTO,3429,50,4,365,26650,2021-03-29,2024-12-31
CTO-PA,3429,50,4,365,26650,2021-03-29,2024-12-31
CTOS,35490,59,4,365,17032,2021-04-05,2024-12-31
CTOS-WT,35490,59,4,365,17032,2021-04-05,2024-12-31
CTRA,20548,299,19,366,76082,1990-02-08,2024-12-31
CTRE,19582,129,11,366,14651,2014-06-03,2024-12-31
CTRI,45232,14,1,257,24966,2024-04-18,2024-12-31
CTRN,163051,208,14,366,90706,2005-05-18,2024-12-31
CTS,2577,442,28,366,28564,1968-01-02,2024-12-31
CTSH,111864,350,22,366,86158,1998-06-19,2024-12-31
CTSO,163965,164,11,366,15127,2014-12-23,2024-12-31
CTT,176234,118,10,366,14334,2013-12-12,2022-09-14
CTV,37909,54,4,365,20996,2021-12-01,2024-12-31
CTV-WT,37909,54,4,365,20996,2021-12-01,2024-12-31
CTVA,35168,89,6,366,18592,2019-06-03,2024-12-31
CTXR,21807,117,8,365,16857,2017-08-03,2024-06-19
CTXS,61676,380,24,366,82686,1995-12-08,2022-09-29
CUBB,170396,177,12,366,13921,2013-05-16,2024-12-31
CUBE,160990,154,13,366,90396,2011-09-19,2024-12-31
CUBI,170396,177,12,366,13921,2013-05-16,2024-12-31
CUBI-PE,170396,177,12,366,13921,2013-05-16,2024-12-31
CUBI-PF,170396,177,12,366,13921,2013-05-16,2024-12-31
CUE,32674,104,7,366,17262,2018-01-02,2024-12-31
CUEN,18885,43,3,365,20587,2021-02-02,2023-12-19
CUENW,18885,43,3,365,20587,2021-02-02,2023-12-19
CUK,13498,167,19,366,89728,2003-04-21,2024-12-31
CULL,183663,58,4,365,21708,2021-07-15,2024-07-19
CULP,3647,397,25,366,27909,1989-09-01,2024-12-31
CURI,37214,73,5,365,19197,2020-10-15,2024-12-31
CURIW,37214,73,5,365,19197,2020-10-15,2024-12-31
CURO,22439,90,6,366,17178,2017-12-07,2024-03-11
CURV,39156,45,3,365,21683,2021-07-01,2024-12-31
CUTR,146648,210,14,366,90081,2004-06-10,2024-12-31
CUZ,3562,249,21,366,27511,1992-09-02,2024-12-31
CVA,23485,189,12,366,76515,2006-06-30,2021-11-29
CVBF,20019,453,29,366,20395,1989-12-14,2024-12-31
CVCO,2820,311,21,366,89792,2003-07-01,2024-12-31
CVCY,63224,267,18,366,90082,2004-06-10,2024-03-31
CVE,183791,107,9,366,93094,2009-12-09,2024-12-31
CVEO,20020,117,10,366,14619,2015-07-17,2024-12-31
CVET,34765,58,4,366,18327,2019-02-08,2022-10-12
CVGI,160570,222,15,366,90314,2004-08-05,2024-12-31
CVGW,147708,282,19,366,89447,2002-07-22,2024-12-31
CVI,178672,254,17,366,92326,2008-06-18,2024-12-31
CVII,38035,54,4,365,20915,2021-04-05,2024-08-16
CVKD,41616,28,2,346,23669,2023-01-20,2024-08-19
CVLG,30877,316,20,366,80969,1994-10-28,2024-08-05
CVLT,174077,283,19,366,91463,2006-10-03,2024-12-31
CVLY,17715,300,19,366,84725,1997-04-25,2024-06-28
CVM,12711,324,22,366,44813,1995-05-31,2024-12-31
CVMCA,35770,11,1,201,25166,2024-06-13,2024-12-31
CVNA,30999,119,8,366,16655,2017-04-28,2024-12-31
CVR,2999,328,22,366,30509,1968-01-02,2024-12-31
CVRX,39127,59,4,365,21527,2021-06-30,2024-12-31
CVS,7241,398,27,366,17005,1996-11-21,2024-12-31
CVT,37356,43,3,365,20142,2021-12-09,2023-06-14
CVU,25726,193,14,366,77900,1999-07-22,2024-12-31
CVV,2581,311,20,366,86290,1993-12-02,2024-12-31
CVX,2991,266,17,366,14541,2001-10-10,2024-12-31
CW,3662,339,23,366,18091,1968-01-02,2024-12-31
CWAN,39554,58,4,365,21898,2021-09-24,2024-12-31
CWBC,62646,302,19,366,84215,1998-01-05,2024-03-28
CWBR,22803,102,7,366,17139,2017-12-15,2023-11-28
CWD,41636,28,2,229,23883,2023-05-17,2024-12-31
CWEN,18293,96,7,366,14030,2018-09-17,2024-12-31
CWEN-A,18293,96,7,366,14030,2018-09-17,2024-12-31
CWGRP,183797,117,8,366,93128,2009-12-01,2023-02-28
CWH,19071,131,9,366,16437,2016-10-07,2024-12-31
CWST,65702,317,20,366,85464,1997-10-29,2024-12-31
CWT,2628,381,24,366,20750,1998-01-02,2024-12-31
CX,105089,118,10,366,87204,2000-03-01,2024-12-31
CXAI,37526,15,1,365,20607,2023-03-15,2024-12-31
CXDC,178327,133,9,366,93130,2009-11-27,2021-10-28
CXDO,111629,115,8,365,87404,2011-06-13,2024-12-31
CXM,38915,59,4,365,21353,2021-06-23,2024-12-31
CXP,163963,105,9,366,14184,2013-10-10,2021-12-07
CXT,42284,15,1,365,20204,2023-04-04,2024-12-31
CXW,65084,105,9,365,85234,2016-11-10,2024-12-31
CYAD,315639,47,4,365,15419,2015-06-19,2023-05-18
CYAN,12575,319,20,366,10661,1991-06-03,2024-02-16
CYBE,14108,333,21,366,11825,1994-06-01,2022-11-03
CYBN,346027,29,3,365,21799,2021-08-05,2024-06-19
CYCC,160809,251,17,365,90098,2006-03-28,2024-12-31
CYCCP,160809,251,17,366,90098,2006-03-28,2024-12-31
CYCN,34746,86,6,365,18427,2019-04-02,2024-12-31
CYH,23714,250,17,366,88284,2000-06-09,2024-12-31
CYN,39575,58,4,365,22200,2021-10-20,2024-07-04
CYRX,162146,148,10,366,15506,2015-07-24,2024-12-31
CYT,38925,44,3,365,21528,2021-06-18,2024-03-15
CYTH,106100,73,5,365,20288,2020-12-09,2024-12-31
CYTHW,106100,73,5,365,20288,2020-12-09,2024-12-31
CYTK,158563,207,14,366,90126,2004-06-10,2024-12-31
CYTR,13184,355,24,366,10838,1989-11-01,2019-06-03
CYXT,39371,43,3,365,20172,2021-07-30,2023-06-14
CZFS,21521,44,3,365,23179,2022-06-03,2024-12-31
CZNC,18037,266,18,366,90534,2006-06-30,2024-12-31
CZR,21808,73,5,365,14882,2020-07-21,2024-12-31
CZWI,266160,209,14,366,91609,2006-11-10,2024-12-31
D,4029,308,21,366,64936,2000-01-31,2024-12-31
DADA,36477,47,4,365,19470,2020-06-05,2024-12-31
DAIO,3761,335,21,366,28629,1986-04-01,2024-12-31
DAKT,29705,428,27,366,80233,1994-02-10,2024-12-31
DAL,3851,309,23,366,91926,1968-01-02,2024-12-31
DALN,179288,58,4,365,92528,2021-06-29,2024-12-31
DAN,3734,154,12,366,92570,2008-04-25,2024-12-31
DAO,35731,35,3,365,18994,2020-06-29,2024-12-31
DAR,30651,341,22,366,80928,1994-09-12,2024-12-31
DARE,32233,118,8,366,14591,2017-07-20,2024-12-31
DASH,37420,73,5,365,20189,2020-12-09,2024-12-31
DATS,39426,58,4,365,21837,2021-08-13,2024-12-31
DATSW,39426,58,4,365,21837,2021-08-13,2024-12-31
DAVA,33913,58,5,365,17984,2018-07-27,2024-12-31
DAVE,37961,43,3,365,20975,2022-01-06,2024-12-31
DAVEW,37961,43,3,365,20975,2022-01-06,2024-12-31
DAWN,38763,58,4,365,21262,2021-05-27,2024-12-31
DBD,3946,278,19,366,40440,1968-01-02,2024-12-31
DBDR,37153,28,2,360,20138,2020-11-19,2021-12-27
DBGI,35152,56,4,346,21280,2021-05-14,2024-12-12
DBGIW,35152,56,4,346,21280,2021-05-14,2024-12-12
DBI,24171,75,6,366,90751,2019-04-02,2024-12-31
DBRG,183603,46,4,365,14686,2021-06-22,2024-12-31
DBRG-PH,183603,46,4,365,14686,2021-06-22,2024-12-31
DBRG-PI,183603,46,4,365,14686,2021-06-22,2024-12-31
DBRG-PJ,183603,46,4,365,14686,2021-06-22,2024-12-31
DBTX,37863,43,3,365,20588,2021-02-12,2023-09-22
DBVT,312079,105,9,366,15002,2014-10-22,2024-11-28
DBX,33152,103,7,366,17342,2018-03-23,2024-12-31
DC,41111,27,2,365,22995,2022-04-05,2024-06-19
DCBO,35743,23,2,365,20289,2020-12-03,2024-12-31
DCGO,37146,59,4,365,20307,2021-11-08,2024-12-31
DCI,4036,413,26,366,61313,1979-11-27,2024-12-31
DCO,4091,393,25,366,63132,1981-07-28,2024-12-31
DCOM,63135,51,4,365,92716,2021-02-01,2024-12-31
DCOMP,63135,51,4,365,92716,2021-02-01,2024-12-31
DCP,165466,154,13,366,91044,2006-02-08,2023-06-14
DCPH,32383,118,8,366,16924,2017-09-28,2024-06-10
DCRC,38094,14,1,208,21281,2021-05-14,2021-12-08
DCRN,37798,14,1,278,20778,2021-03-29,2022-01-13
DCRNU,37798,14,1,278,20778,2021-03-29,2022-01-13
DCT,36788,44,3,365,19578,2020-09-18,2023-03-29
DCTH,140023,279,19,366,89169,2001-10-22,2024-12-31
DCUE,4029,174,12,366,64936,2002-01-02,2022-07-12
DD,4060,76,6,365,16851,2019-06-03,2024-12-31
DDD,14898,381,24,366,78664,1995-06-22,2024-12-31
DDI,36559,46,4,365,21838,2021-08-31,2024-12-31
DDL,38969,35,3,365,21379,2021-06-29,2024-12-31
DDMXU,37461,14,1,307,20424,2021-01-27,2021-11-30
DDOG,35620,88,6,366,18911,2019-09-19,2024-12-31
DDS,3964,440,28,366,49429,1997-05-20,2024-12-31
DE,3835,373,25,366,19350,1968-01-02,2024-12-31
DEA,22674,118,10,366,15194,2015-02-06,2024-12-31
DECK,29015,412,26,366,79686,1993-10-15,2024-12-31
DEI,175307,143,12,366,91519,2009-01-21,2024-12-31
DELL,14489,89,7,365,18267,2018-12-28,2024-12-31
DEN,20653,50,4,365,19752,2020-09-21,2023-11-01
DENN,19398,195,13,366,85726,2005-05-10,2024-12-31
DEO,18636,130,11,366,76592,2004-06-10,2024-12-31
DERM,39941,59,4,365,22296,2021-11-12,2024-12-31
DFFN,26809,14,1,137,86536,2023-08-17,2024-12-31
DFH,37793,58,4,365,20344,2021-01-21,2024-12-31
DFIN,27803,132,9,365,16277,2016-10-03,2024-12-31
DFLI,38277,42,3,325,21835,2022-10-10,2024-11-21
DFLIW,38277,42,3,325,21835,2022-10-10,2024-11-21
DFPH,36237,28,2,317,19397,2020-05-01,2021-11-14
DFPHU,36237,28,2,317,19397,2020-05-01,2021-11-14
DFS,177376,248,17,366,92121,2007-07-02,2024-12-31
DG,4016,165,13,366,93096,2011-06-14,2024-12-31
DGHI,36218,35,3,365,22297,2021-11-15,2024-12-31
DGICA,16714,314,22,366,11748,1986-10-29,2024-12-31
DGICB,16714,269,19,366,11748,1986-10-29,2024-12-31
DGII,16710,412,26,366,75831,1989-10-05,2024-12-31
